,property_type,price,address,city,code,area,bedrooms,bathrooms,url,agency
736,Condo for sale,"$150,000",100 W 57th St #11A, New York, NY 10019,450 sqft,Studio,1 ,https://www.zillow.com/homedetails/100-W-57th-St-11A-New-York-NY-10019/119917571_zpid/,J. ONE CORPORATION
737,Townhouse for sale,"$479,000",9 Stone Ln, Staten Island, NY 10314,"1,242 sqft",3,2 ,https://www.zillow.com/homedetails/9-Stone-Ln-Staten-Island-NY-10314/32316265_zpid/,DIANE REALTY LTD.
738,Townhouse for sale,"$13,995,000",18 Prospect Park W, Brooklyn, NY 11215,"9,026 sqft",7,6 ,https://www.zillow.com/homedetails/18-Prospect-Park-W-Brooklyn-NY-11215/30587065_zpid/,COMPASS
739,Multi-family home for sale,"$874,900",58 Willow Ln, Staten Island, NY 10306,"2,142 sqft",4,3 ,https://www.zillow.com/homedetails/58-Willow-Ln-Staten-Island-NY-10306/32342734_zpid/,"AMERIHOMES REALTY OF NY, INC"
740,New construction,"$1,099,000",110 Woodvale Ave, Staten Island, NY 10309,"3,328 sqft",5,4 ,https://www.zillow.com/homedetails/110-Woodvale-Ave-Staten-Island-NY-10309/338827682_zpid/,"ROBERT DEFALCO REALTY, INC."
741,House for sale,"$699,000",319 Montreal Ave, Staten Island, NY 10306,864 sqft,3,2 ,https://www.zillow.com/homedetails/319-Montreal-Ave-Staten-Island-NY-10306/32343835_zpid/,MOMENTUM REAL ESTATE LLC
742,Townhouse for sale,"$399,000",111 Ilyssa Way, Staten Island, NY 10312,"1,554 sqft",2,3 ,https://www.zillow.com/homedetails/111-Ilyssa-Way-Staten-Island-NY-10312/32359918_zpid/,"PRIME TIME REAL ESTATE, INC."
743,House for sale,"$1,388,000",192-26 56th Avenue, Fresh Meadows, NY 11365,"1,999 sqft",4,4 ,https://www.zillow.com/homedetails/19226-56th-Ave-Flushing-NY-11365/32052857_zpid/,KELLER WILLIAMS LANDMARK II
744,Condo for sale,"$199,000",84-40 153rd Ave APT 3A, Howard Beach, NY 11414,-- sqft,1,1 ,https://www.zillow.com/homedetails/84-40-153rd-Ave-APT-3A-Howard-Beach-NY-11414/72648453_zpid/,CENTURY 21 AMIABLE REALTY GROUP II INC
745,Condo for sale,"$150,000",100 W 57th St #11A, New York, NY 10019,450 sqft,Studio,1 ,https://www.zillow.com/homedetails/100-W-57th-St-11A-New-York-NY-10019/119917571_zpid/,J. ONE CORPORATION
746,Townhouse for sale,"$479,000",9 Stone Ln, Staten Island, NY 10314,"1,242 sqft",3,2 ,https://www.zillow.com/homedetails/9-Stone-Ln-Staten-Island-NY-10314/32316265_zpid/,DIANE REALTY LTD.
747,Townhouse for sale,"$13,995,000",18 Prospect Park W, Brooklyn, NY 11215,"9,026 sqft",7,6 ,https://www.zillow.com/homedetails/18-Prospect-Park-W-Brooklyn-NY-11215/30587065_zpid/,COMPASS
748,Multi-family home for sale,"$874,900",58 Willow Ln, Staten Island, NY 10306,"2,142 sqft",4,3 ,https://www.zillow.com/homedetails/58-Willow-Ln-Staten-Island-NY-10306/32342734_zpid/,"AMERIHOMES REALTY OF NY, INC"
749,New construction,"$1,099,000",110 Woodvale Ave, Staten Island, NY 10309,"3,328 sqft",5,4 ,https://www.zillow.com/homedetails/110-Woodvale-Ave-Staten-Island-NY-10309/338827682_zpid/,"ROBERT DEFALCO REALTY, INC."
750,House for sale,"$699,000",319 Montreal Ave, Staten Island, NY 10306,864 sqft,3,2 ,https://www.zillow.com/homedetails/319-Montreal-Ave-Staten-Island-NY-10306/32343835_zpid/,MOMENTUM REAL ESTATE LLC
751,Townhouse for sale,"$399,000",111 Ilyssa Way, Staten Island, NY 10312,"1,554 sqft",2,3 ,https://www.zillow.com/homedetails/111-Ilyssa-Way-Staten-Island-NY-10312/32359918_zpid/,"PRIME TIME REAL ESTATE, INC."
752,House for sale,"$1,388,000",192-26 56th Avenue, Fresh Meadows, NY 11365,"1,999 sqft",4,4 ,https://www.zillow.com/homedetails/19226-56th-Ave-Flushing-NY-11365/32052857_zpid/,KELLER WILLIAMS LANDMARK II
753,Condo for sale,"$199,000",84-40 153rd Ave APT 3A, Howard Beach, NY 11414,-- sqft,1,1 ,https://www.zillow.com/homedetails/84-40-153rd-Ave-APT-3A-Howard-Beach-NY-11414/72648453_zpid/,CENTURY 21 AMIABLE REALTY GROUP II INC
754,Condo for sale,"$150,000",100 W 57th St #11A, New York, NY 10019,450 sqft,Studio,1 ,https://www.zillow.com/homedetails/100-W-57th-St-11A-New-York-NY-10019/119917571_zpid/,J. ONE CORPORATION
755,Townhouse for sale,"$479,000",9 Stone Ln, Staten Island, NY 10314,"1,242 sqft",3,2 ,https://www.zillow.com/homedetails/9-Stone-Ln-Staten-Island-NY-10314/32316265_zpid/,DIANE REALTY LTD.
756,Townhouse for sale,"$13,995,000",18 Prospect Park W, Brooklyn, NY 11215,"9,026 sqft",7,6 ,https://www.zillow.com/homedetails/18-Prospect-Park-W-Brooklyn-NY-11215/30587065_zpid/,COMPASS
757,Multi-family home for sale,"$874,900",58 Willow Ln, Staten Island, NY 10306,"2,142 sqft",4,3 ,https://www.zillow.com/homedetails/58-Willow-Ln-Staten-Island-NY-10306/32342734_zpid/,"AMERIHOMES REALTY OF NY, INC"
758,New construction,"$1,099,000",110 Woodvale Ave, Staten Island, NY 10309,"3,328 sqft",5,4 ,https://www.zillow.com/homedetails/110-Woodvale-Ave-Staten-Island-NY-10309/338827682_zpid/,"ROBERT DEFALCO REALTY, INC."
759,House for sale,"$699,000",319 Montreal Ave, Staten Island, NY 10306,864 sqft,3,2 ,https://www.zillow.com/homedetails/319-Montreal-Ave-Staten-Island-NY-10306/32343835_zpid/,MOMENTUM REAL ESTATE LLC
760,Townhouse for sale,"$399,000",111 Ilyssa Way, Staten Island, NY 10312,"1,554 sqft",2,3 ,https://www.zillow.com/homedetails/111-Ilyssa-Way-Staten-Island-NY-10312/32359918_zpid/,"PRIME TIME REAL ESTATE, INC."
761,House for sale,"$1,388,000",192-26 56th Avenue, Fresh Meadows, NY 11365,"1,999 sqft",4,4 ,https://www.zillow.com/homedetails/19226-56th-Ave-Flushing-NY-11365/32052857_zpid/,KELLER WILLIAMS LANDMARK II
762,Condo for sale,"$199,000",84-40 153rd Ave APT 3A, Howard Beach, NY 11414,-- sqft,1,1 ,https://www.zillow.com/homedetails/84-40-153rd-Ave-APT-3A-Howard-Beach-NY-11414/72648453_zpid/,CENTURY 21 AMIABLE REALTY GROUP II INC
763,Condo for sale,"$150,000",100 W 57th St #11A, New York, NY 10019,450 sqft,Studio,1 ,https://www.zillow.com/homedetails/100-W-57th-St-11A-New-York-NY-10019/119917571_zpid/,J. ONE CORPORATION
764,Townhouse for sale,"$479,000",9 Stone Ln, Staten Island, NY 10314,"1,242 sqft",3,2 ,https://www.zillow.com/homedetails/9-Stone-Ln-Staten-Island-NY-10314/32316265_zpid/,DIANE REALTY LTD.
765,Townhouse for sale,"$13,995,000",18 Prospect Park W, Brooklyn, NY 11215,"9,026 sqft",7,6 ,https://www.zillow.com/homedetails/18-Prospect-Park-W-Brooklyn-NY-11215/30587065_zpid/,COMPASS
766,Multi-family home for sale,"$874,900",58 Willow Ln, Staten Island, NY 10306,"2,142 sqft",4,3 ,https://www.zillow.com/homedetails/58-Willow-Ln-Staten-Island-NY-10306/32342734_zpid/,"AMERIHOMES REALTY OF NY, INC"
767,New construction,"$1,099,000",110 Woodvale Ave, Staten Island, NY 10309,"3,328 sqft",5,4 ,https://www.zillow.com/homedetails/110-Woodvale-Ave-Staten-Island-NY-10309/338827682_zpid/,"ROBERT DEFALCO REALTY, INC."
768,House for sale,"$699,000",319 Montreal Ave, Staten Island, NY 10306,864 sqft,3,2 ,https://www.zillow.com/homedetails/319-Montreal-Ave-Staten-Island-NY-10306/32343835_zpid/,MOMENTUM REAL ESTATE LLC
769,Townhouse for sale,"$399,000",111 Ilyssa Way, Staten Island, NY 10312,"1,554 sqft",2,3 ,https://www.zillow.com/homedetails/111-Ilyssa-Way-Staten-Island-NY-10312/32359918_zpid/,"PRIME TIME REAL ESTATE, INC."
770,House for sale,"$1,388,000",192-26 56th Avenue, Fresh Meadows, NY 11365,"1,999 sqft",4,4 ,https://www.zillow.com/homedetails/19226-56th-Ave-Flushing-NY-11365/32052857_zpid/,KELLER WILLIAMS LANDMARK II
771,Condo for sale,"$199,000",84-40 153rd Ave APT 3A, Howard Beach, NY 11414,-- sqft,1,1 ,https://www.zillow.com/homedetails/84-40-153rd-Ave-APT-3A-Howard-Beach-NY-11414/72648453_zpid/,CENTURY 21 AMIABLE REALTY GROUP II INC
772,Condo for sale,"$150,000",100 W 57th St #11A, New York, NY 10019,450 sqft,Studio,1 ,https://www.zillow.com/homedetails/100-W-57th-St-11A-New-York-NY-10019/119917571_zpid/,J. ONE CORPORATION
773,Townhouse for sale,"$479,000",9 Stone Ln, Staten Island, NY 10314,"1,242 sqft",3,2 ,https://www.zillow.com/homedetails/9-Stone-Ln-Staten-Island-NY-10314/32316265_zpid/,DIANE REALTY LTD.
774,Townhouse for sale,"$13,995,000",18 Prospect Park W, Brooklyn, NY 11215,"9,026 sqft",7,6 ,https://www.zillow.com/homedetails/18-Prospect-Park-W-Brooklyn-NY-11215/30587065_zpid/,COMPASS
775,Multi-family home for sale,"$874,900",58 Willow Ln, Staten Island, NY 10306,"2,142 sqft",4,3 ,https://www.zillow.com/homedetails/58-Willow-Ln-Staten-Island-NY-10306/32342734_zpid/,"AMERIHOMES REALTY OF NY, INC"
776,New construction,"$1,099,000",110 Woodvale Ave, Staten Island, NY 10309,"3,328 sqft",5,4 ,https://www.zillow.com/homedetails/110-Woodvale-Ave-Staten-Island-NY-10309/338827682_zpid/,"ROBERT DEFALCO REALTY, INC."
777,House for sale,"$699,000",319 Montreal Ave, Staten Island, NY 10306,864 sqft,3,2 ,https://www.zillow.com/homedetails/319-Montreal-Ave-Staten-Island-NY-10306/32343835_zpid/,MOMENTUM REAL ESTATE LLC
778,Townhouse for sale,"$399,000",111 Ilyssa Way, Staten Island, NY 10312,"1,554 sqft",2,3 ,https://www.zillow.com/homedetails/111-Ilyssa-Way-Staten-Island-NY-10312/32359918_zpid/,"PRIME TIME REAL ESTATE, INC."
779,House for sale,"$1,388,000",192-26 56th Avenue, Fresh Meadows, NY 11365,"1,999 sqft",4,4 ,https://www.zillow.com/homedetails/19226-56th-Ave-Flushing-NY-11365/32052857_zpid/,KELLER WILLIAMS LANDMARK II
780,Condo for sale,"$199,000",84-40 153rd Ave APT 3A, Howard Beach, NY 11414,-- sqft,1,1 ,https://www.zillow.com/homedetails/84-40-153rd-Ave-APT-3A-Howard-Beach-NY-11414/72648453_zpid/,CENTURY 21 AMIABLE REALTY GROUP II INC
781,Condo for sale,"$150,000",100 W 57th St #11A, New York, NY 10019,450 sqft,Studio,1 ,https://www.zillow.com/homedetails/100-W-57th-St-11A-New-York-NY-10019/119917571_zpid/,J. ONE CORPORATION
782,Townhouse for sale,"$479,000",9 Stone Ln, Staten Island, NY 10314,"1,242 sqft",3,2 ,https://www.zillow.com/homedetails/9-Stone-Ln-Staten-Island-NY-10314/32316265_zpid/,DIANE REALTY LTD.
783,Townhouse for sale,"$13,995,000",18 Prospect Park W, Brooklyn, NY 11215,"9,026 sqft",7,6 ,https://www.zillow.com/homedetails/18-Prospect-Park-W-Brooklyn-NY-11215/30587065_zpid/,COMPASS
784,Multi-family home for sale,"$874,900",58 Willow Ln, Staten Island, NY 10306,"2,142 sqft",4,3 ,https://www.zillow.com/homedetails/58-Willow-Ln-Staten-Island-NY-10306/32342734_zpid/,"AMERIHOMES REALTY OF NY, INC"
785,New construction,"$1,099,000",110 Woodvale Ave, Staten Island, NY 10309,"3,328 sqft",5,4 ,https://www.zillow.com/homedetails/110-Woodvale-Ave-Staten-Island-NY-10309/338827682_zpid/,"ROBERT DEFALCO REALTY, INC."
786,House for sale,"$699,000",319 Montreal Ave, Staten Island, NY 10306,864 sqft,3,2 ,https://www.zillow.com/homedetails/319-Montreal-Ave-Staten-Island-NY-10306/32343835_zpid/,MOMENTUM REAL ESTATE LLC
787,Townhouse for sale,"$399,000",111 Ilyssa Way, Staten Island, NY 10312,"1,554 sqft",2,3 ,https://www.zillow.com/homedetails/111-Ilyssa-Way-Staten-Island-NY-10312/32359918_zpid/,"PRIME TIME REAL ESTATE, INC."
788,House for sale,"$1,388,000",192-26 56th Avenue, Fresh Meadows, NY 11365,"1,999 sqft",4,4 ,https://www.zillow.com/homedetails/19226-56th-Ave-Flushing-NY-11365/32052857_zpid/,KELLER WILLIAMS LANDMARK II
789,Condo for sale,"$199,000",84-40 153rd Ave APT 3A, Howard Beach, NY 11414,-- sqft,1,1 ,https://www.zillow.com/homedetails/84-40-153rd-Ave-APT-3A-Howard-Beach-NY-11414/72648453_zpid/,CENTURY 21 AMIABLE REALTY GROUP II INC
790,Condo for sale,"$150,000",100 W 57th St #11A, New York, NY 10019,450 sqft,Studio,1 ,https://www.zillow.com/homedetails/100-W-57th-St-11A-New-York-NY-10019/119917571_zpid/,J. ONE CORPORATION
791,Townhouse for sale,"$479,000",9 Stone Ln, Staten Island, NY 10314,"1,242 sqft",3,2 ,https://www.zillow.com/homedetails/9-Stone-Ln-Staten-Island-NY-10314/32316265_zpid/,DIANE REALTY LTD.
792,Townhouse for sale,"$13,995,000",18 Prospect Park W, Brooklyn, NY 11215,"9,026 sqft",7,6 ,https://www.zillow.com/homedetails/18-Prospect-Park-W-Brooklyn-NY-11215/30587065_zpid/,COMPASS
793,Multi-family home for sale,"$874,900",58 Willow Ln, Staten Island, NY 10306,"2,142 sqft",4,3 ,https://www.zillow.com/homedetails/58-Willow-Ln-Staten-Island-NY-10306/32342734_zpid/,"AMERIHOMES REALTY OF NY, INC"
794,New construction,"$1,099,000",110 Woodvale Ave, Staten Island, NY 10309,"3,328 sqft",5,4 ,https://www.zillow.com/homedetails/110-Woodvale-Ave-Staten-Island-NY-10309/338827682_zpid/,"ROBERT DEFALCO REALTY, INC."
795,House for sale,"$699,000",319 Montreal Ave, Staten Island, NY 10306,864 sqft,3,2 ,https://www.zillow.com/homedetails/319-Montreal-Ave-Staten-Island-NY-10306/32343835_zpid/,MOMENTUM REAL ESTATE LLC
796,Townhouse for sale,"$399,000",111 Ilyssa Way, Staten Island, NY 10312,"1,554 sqft",2,3 ,https://www.zillow.com/homedetails/111-Ilyssa-Way-Staten-Island-NY-10312/32359918_zpid/,"PRIME TIME REAL ESTATE, INC."
797,House for sale,"$1,388,000",192-26 56th Avenue, Fresh Meadows, NY 11365,"1,999 sqft",4,4 ,https://www.zillow.com/homedetails/19226-56th-Ave-Flushing-NY-11365/32052857_zpid/,KELLER WILLIAMS LANDMARK II
798,Condo for sale,"$199,000",84-40 153rd Ave APT 3A, Howard Beach, NY 11414,-- sqft,1,1 ,https://www.zillow.com/homedetails/84-40-153rd-Ave-APT-3A-Howard-Beach-NY-11414/72648453_zpid/,CENTURY 21 AMIABLE REALTY GROUP II INC
799,Condo for sale,"$150,000",100 W 57th St #11A, New York, NY 10019,450 sqft,Studio,1 ,https://www.zillow.com/homedetails/100-W-57th-St-11A-New-York-NY-10019/119917571_zpid/,J. ONE CORPORATION
800,Townhouse for sale,"$479,000",9 Stone Ln, Staten Island, NY 10314,"1,242 sqft",3,2 ,https://www.zillow.com/homedetails/9-Stone-Ln-Staten-Island-NY-10314/32316265_zpid/,DIANE REALTY LTD.
801,Townhouse for sale,"$13,995,000",18 Prospect Park W, Brooklyn, NY 11215,"9,026 sqft",7,6 ,https://www.zillow.com/homedetails/18-Prospect-Park-W-Brooklyn-NY-11215/30587065_zpid/,COMPASS
802,Multi-family home for sale,"$874,900",58 Willow Ln, Staten Island, NY 10306,"2,142 sqft",4,3 ,https://www.zillow.com/homedetails/58-Willow-Ln-Staten-Island-NY-10306/32342734_zpid/,"AMERIHOMES REALTY OF NY, INC"
803,New construction,"$1,099,000",110 Woodvale Ave, Staten Island, NY 10309,"3,328 sqft",5,4 ,https://www.zillow.com/homedetails/110-Woodvale-Ave-Staten-Island-NY-10309/338827682_zpid/,"ROBERT DEFALCO REALTY, INC."
804,House for sale,"$699,000",319 Montreal Ave, Staten Island, NY 10306,864 sqft,3,2 ,https://www.zillow.com/homedetails/319-Montreal-Ave-Staten-Island-NY-10306/32343835_zpid/,MOMENTUM REAL ESTATE LLC
805,Townhouse for sale,"$399,000",111 Ilyssa Way, Staten Island, NY 10312,"1,554 sqft",2,3 ,https://www.zillow.com/homedetails/111-Ilyssa-Way-Staten-Island-NY-10312/32359918_zpid/,"PRIME TIME REAL ESTATE, INC."
806,House for sale,"$1,388,000",192-26 56th Avenue, Fresh Meadows, NY 11365,"1,999 sqft",4,4 ,https://www.zillow.com/homedetails/19226-56th-Ave-Flushing-NY-11365/32052857_zpid/,KELLER WILLIAMS LANDMARK II
807,Condo for sale,"$199,000",84-40 153rd Ave APT 3A, Howard Beach, NY 11414,-- sqft,1,1 ,https://www.zillow.com/homedetails/84-40-153rd-Ave-APT-3A-Howard-Beach-NY-11414/72648453_zpid/,CENTURY 21 AMIABLE REALTY GROUP II INC
808,Condo for sale,"$150,000",100 W 57th St #11A, New York, NY 10019,450 sqft,Studio,1 ,https://www.zillow.com/homedetails/100-W-57th-St-11A-New-York-NY-10019/119917571_zpid/,J. ONE CORPORATION
809,Townhouse for sale,"$479,000",9 Stone Ln, Staten Island, NY 10314,"1,242 sqft",3,2 ,https://www.zillow.com/homedetails/9-Stone-Ln-Staten-Island-NY-10314/32316265_zpid/,DIANE REALTY LTD.
810,Townhouse for sale,"$13,995,000",18 Prospect Park W, Brooklyn, NY 11215,"9,026 sqft",7,6 ,https://www.zillow.com/homedetails/18-Prospect-Park-W-Brooklyn-NY-11215/30587065_zpid/,COMPASS
811,Multi-family home for sale,"$874,900",58 Willow Ln, Staten Island, NY 10306,"2,142 sqft",4,3 ,https://www.zillow.com/homedetails/58-Willow-Ln-Staten-Island-NY-10306/32342734_zpid/,"AMERIHOMES REALTY OF NY, INC"
812,New construction,"$1,099,000",110 Woodvale Ave, Staten Island, NY 10309,"3,328 sqft",5,4 ,https://www.zillow.com/homedetails/110-Woodvale-Ave-Staten-Island-NY-10309/338827682_zpid/,"ROBERT DEFALCO REALTY, INC."
813,House for sale,"$699,000",319 Montreal Ave, Staten Island, NY 10306,864 sqft,3,2 ,https://www.zillow.com/homedetails/319-Montreal-Ave-Staten-Island-NY-10306/32343835_zpid/,MOMENTUM REAL ESTATE LLC
814,Townhouse for sale,"$399,000",111 Ilyssa Way, Staten Island, NY 10312,"1,554 sqft",2,3 ,https://www.zillow.com/homedetails/111-Ilyssa-Way-Staten-Island-NY-10312/32359918_zpid/,"PRIME TIME REAL ESTATE, INC."
815,House for sale,"$1,388,000",192-26 56th Avenue, Fresh Meadows, NY 11365,"1,999 sqft",4,4 ,https://www.zillow.com/homedetails/19226-56th-Ave-Flushing-NY-11365/32052857_zpid/,KELLER WILLIAMS LANDMARK II
816,Condo for sale,"$199,000",84-40 153rd Ave APT 3A, Howard Beach, NY 11414,-- sqft,1,1 ,https://www.zillow.com/homedetails/84-40-153rd-Ave-APT-3A-Howard-Beach-NY-11414/72648453_zpid/,CENTURY 21 AMIABLE REALTY GROUP II INC
817,Condo for sale,"$150,000",100 W 57th St #11A, New York, NY 10019,450 sqft,Studio,1 ,https://www.zillow.com/homedetails/100-W-57th-St-11A-New-York-NY-10019/119917571_zpid/,J. ONE CORPORATION
818,Townhouse for sale,"$479,000",9 Stone Ln, Staten Island, NY 10314,"1,242 sqft",3,2 ,https://www.zillow.com/homedetails/9-Stone-Ln-Staten-Island-NY-10314/32316265_zpid/,DIANE REALTY LTD.
819,Townhouse for sale,"$13,995,000",18 Prospect Park W, Brooklyn, NY 11215,"9,026 sqft",7,6 ,https://www.zillow.com/homedetails/18-Prospect-Park-W-Brooklyn-NY-11215/30587065_zpid/,COMPASS
820,Multi-family home for sale,"$874,900",58 Willow Ln, Staten Island, NY 10306,"2,142 sqft",4,3 ,https://www.zillow.com/homedetails/58-Willow-Ln-Staten-Island-NY-10306/32342734_zpid/,"AMERIHOMES REALTY OF NY, INC"
821,New construction,"$1,099,000",110 Woodvale Ave, Staten Island, NY 10309,"3,328 sqft",5,4 ,https://www.zillow.com/homedetails/110-Woodvale-Ave-Staten-Island-NY-10309/338827682_zpid/,"ROBERT DEFALCO REALTY, INC."
822,House for sale,"$699,000",319 Montreal Ave, Staten Island, NY 10306,864 sqft,3,2 ,https://www.zillow.com/homedetails/319-Montreal-Ave-Staten-Island-NY-10306/32343835_zpid/,MOMENTUM REAL ESTATE LLC
823,Townhouse for sale,"$399,000",111 Ilyssa Way, Staten Island, NY 10312,"1,554 sqft",2,3 ,https://www.zillow.com/homedetails/111-Ilyssa-Way-Staten-Island-NY-10312/32359918_zpid/,"PRIME TIME REAL ESTATE, INC."
824,House for sale,"$1,388,000",192-26 56th Avenue, Fresh Meadows, NY 11365,"1,999 sqft",4,4 ,https://www.zillow.com/homedetails/19226-56th-Ave-Flushing-NY-11365/32052857_zpid/,KELLER WILLIAMS LANDMARK II
825,Condo for sale,"$199,000",84-40 153rd Ave APT 3A, Howard Beach, NY 11414,-- sqft,1,1 ,https://www.zillow.com/homedetails/84-40-153rd-Ave-APT-3A-Howard-Beach-NY-11414/72648453_zpid/,CENTURY 21 AMIABLE REALTY GROUP II INC
826,Condo for sale,"$150,000",100 W 57th St #11A, New York, NY 10019,450 sqft,Studio,1 ,https://www.zillow.com/homedetails/100-W-57th-St-11A-New-York-NY-10019/119917571_zpid/,J. ONE CORPORATION
827,Townhouse for sale,"$479,000",9 Stone Ln, Staten Island, NY 10314,"1,242 sqft",3,2 ,https://www.zillow.com/homedetails/9-Stone-Ln-Staten-Island-NY-10314/32316265_zpid/,DIANE REALTY LTD.
828,Townhouse for sale,"$13,995,000",18 Prospect Park W, Brooklyn, NY 11215,"9,026 sqft",7,6 ,https://www.zillow.com/homedetails/18-Prospect-Park-W-Brooklyn-NY-11215/30587065_zpid/,COMPASS
829,Multi-family home for sale,"$874,900",58 Willow Ln, Staten Island, NY 10306,"2,142 sqft",4,3 ,https://www.zillow.com/homedetails/58-Willow-Ln-Staten-Island-NY-10306/32342734_zpid/,"AMERIHOMES REALTY OF NY, INC"
830,New construction,"$1,099,000",110 Woodvale Ave, Staten Island, NY 10309,"3,328 sqft",5,4 ,https://www.zillow.com/homedetails/110-Woodvale-Ave-Staten-Island-NY-10309/338827682_zpid/,"ROBERT DEFALCO REALTY, INC."
831,House for sale,"$699,000",319 Montreal Ave, Staten Island, NY 10306,864 sqft,3,2 ,https://www.zillow.com/homedetails/319-Montreal-Ave-Staten-Island-NY-10306/32343835_zpid/,MOMENTUM REAL ESTATE LLC
832,Townhouse for sale,"$399,000",111 Ilyssa Way, Staten Island, NY 10312,"1,554 sqft",2,3 ,https://www.zillow.com/homedetails/111-Ilyssa-Way-Staten-Island-NY-10312/32359918_zpid/,"PRIME TIME REAL ESTATE, INC."
833,House for sale,"$1,388,000",192-26 56th Avenue, Fresh Meadows, NY 11365,"1,999 sqft",4,4 ,https://www.zillow.com/homedetails/19226-56th-Ave-Flushing-NY-11365/32052857_zpid/,KELLER WILLIAMS LANDMARK II
834,Condo for sale,"$199,000",84-40 153rd Ave APT 3A, Howard Beach, NY 11414,-- sqft,1,1 ,https://www.zillow.com/homedetails/84-40-153rd-Ave-APT-3A-Howard-Beach-NY-11414/72648453_zpid/,CENTURY 21 AMIABLE REALTY GROUP II INC
835,Condo for sale,"$150,000",100 W 57th St #11A, New York, NY 10019,450 sqft,Studio,1 ,https://www.zillow.com/homedetails/100-W-57th-St-11A-New-York-NY-10019/119917571_zpid/,J. ONE CORPORATION
836,Townhouse for sale,"$479,000",9 Stone Ln, Staten Island, NY 10314,"1,242 sqft",3,2 ,https://www.zillow.com/homedetails/9-Stone-Ln-Staten-Island-NY-10314/32316265_zpid/,DIANE REALTY LTD.
837,Townhouse for sale,"$13,995,000",18 Prospect Park W, Brooklyn, NY 11215,"9,026 sqft",7,6 ,https://www.zillow.com/homedetails/18-Prospect-Park-W-Brooklyn-NY-11215/30587065_zpid/,COMPASS
838,Multi-family home for sale,"$874,900",58 Willow Ln, Staten Island, NY 10306,"2,142 sqft",4,3 ,https://www.zillow.com/homedetails/58-Willow-Ln-Staten-Island-NY-10306/32342734_zpid/,"AMERIHOMES REALTY OF NY, INC"
839,New construction,"$1,099,000",110 Woodvale Ave, Staten Island, NY 10309,"3,328 sqft",5,4 ,https://www.zillow.com/homedetails/110-Woodvale-Ave-Staten-Island-NY-10309/338827682_zpid/,"ROBERT DEFALCO REALTY, INC."
840,House for sale,"$699,000",319 Montreal Ave, Staten Island, NY 10306,864 sqft,3,2 ,https://www.zillow.com/homedetails/319-Montreal-Ave-Staten-Island-NY-10306/32343835_zpid/,MOMENTUM REAL ESTATE LLC
841,Townhouse for sale,"$399,000",111 Ilyssa Way, Staten Island, NY 10312,"1,554 sqft",2,3 ,https://www.zillow.com/homedetails/111-Ilyssa-Way-Staten-Island-NY-10312/32359918_zpid/,"PRIME TIME REAL ESTATE, INC."
842,House for sale,"$1,388,000",192-26 56th Avenue, Fresh Meadows, NY 11365,"1,999 sqft",4,4 ,https://www.zillow.com/homedetails/19226-56th-Ave-Flushing-NY-11365/32052857_zpid/,KELLER WILLIAMS LANDMARK II
843,Condo for sale,"$199,000",84-40 153rd Ave APT 3A, Howard Beach, NY 11414,-- sqft,1,1 ,https://www.zillow.com/homedetails/84-40-153rd-Ave-APT-3A-Howard-Beach-NY-11414/72648453_zpid/,CENTURY 21 AMIABLE REALTY GROUP II INC
844,Condo for sale,"$150,000",100 W 57th St #11A, New York, NY 10019,450 sqft,Studio,1 ,https://www.zillow.com/homedetails/100-W-57th-St-11A-New-York-NY-10019/119917571_zpid/,J. ONE CORPORATION
845,Townhouse for sale,"$479,000",9 Stone Ln, Staten Island, NY 10314,"1,242 sqft",3,2 ,https://www.zillow.com/homedetails/9-Stone-Ln-Staten-Island-NY-10314/32316265_zpid/,DIANE REALTY LTD.
846,Townhouse for sale,"$13,995,000",18 Prospect Park W, Brooklyn, NY 11215,"9,026 sqft",7,6 ,https://www.zillow.com/homedetails/18-Prospect-Park-W-Brooklyn-NY-11215/30587065_zpid/,COMPASS
847,Multi-family home for sale,"$874,900",58 Willow Ln, Staten Island, NY 10306,"2,142 sqft",4,3 ,https://www.zillow.com/homedetails/58-Willow-Ln-Staten-Island-NY-10306/32342734_zpid/,"AMERIHOMES REALTY OF NY, INC"
848,New construction,"$1,099,000",110 Woodvale Ave, Staten Island, NY 10309,"3,328 sqft",5,4 ,https://www.zillow.com/homedetails/110-Woodvale-Ave-Staten-Island-NY-10309/338827682_zpid/,"ROBERT DEFALCO REALTY, INC."
849,House for sale,"$699,000",319 Montreal Ave, Staten Island, NY 10306,864 sqft,3,2 ,https://www.zillow.com/homedetails/319-Montreal-Ave-Staten-Island-NY-10306/32343835_zpid/,MOMENTUM REAL ESTATE LLC
850,Townhouse for sale,"$399,000",111 Ilyssa Way, Staten Island, NY 10312,"1,554 sqft",2,3 ,https://www.zillow.com/homedetails/111-Ilyssa-Way-Staten-Island-NY-10312/32359918_zpid/,"PRIME TIME REAL ESTATE, INC."
851,House for sale,"$1,388,000",192-26 56th Avenue, Fresh Meadows, NY 11365,"1,999 sqft",4,4 ,https://www.zillow.com/homedetails/19226-56th-Ave-Flushing-NY-11365/32052857_zpid/,KELLER WILLIAMS LANDMARK II
852,Condo for sale,"$199,000",84-40 153rd Ave APT 3A, Howard Beach, NY 11414,-- sqft,1,1 ,https://www.zillow.com/homedetails/84-40-153rd-Ave-APT-3A-Howard-Beach-NY-11414/72648453_zpid/,CENTURY 21 AMIABLE REALTY GROUP II INC
